,true_label,graph_id,method,binary_prediction,fold,probability_prediction_0,probability_prediction_1,probability_prediction_2
46,2,46,pagerank_w_mean_0.00,1,1,0.2004,0.4402,0.3594
47,1,47,pagerank_w_mean_0.00,1,0,0.2378,0.4462,0.3159
48,1,48,pagerank_w_mean_0.00,1,0,0.2352,0.4504,0.3144
49,1,49,pagerank_w_mean_0.00,1,0,0.2357,0.4533,0.311
50,1,50,pagerank_w_mean_0.00,1,1,0.204,0.4604,0.3356
51,2,51,pagerank_w_mean_0.00,1,1,0.1954,0.4202,0.3844
52,1,52,pagerank_w_mean_0.00,1,1,0.2036,0.4603,0.3361
53,1,53,pagerank_w_mean_0.00,1,1,0.2032,0.4819,0.3149
54,1,54,pagerank_w_mean_0.00,1,1,0.2111,0.4681,0.3208
55,1,55,pagerank_w_mean_0.00,1,1,0.2094,0.4713,0.3193
56,2,56,pagerank_w_mean_0.00,2,1,0.1856,0.3932,0.4213
57,1,57,pagerank_w_mean_0.00,1,1,0.2036,0.4623,0.3341
58,1,58,pagerank_w_mean_0.00,1,1,0.2124,0.4495,0.3381
59,0,59,pagerank_w_mean_0.00,1,0,0.2286,0.4347,0.3367
60,1,60,pagerank_w_mean_0.00,1,1,0.2063,0.463,0.3307
61,2,61,pagerank_w_mean_0.00,2,1,0.1873,0.3969,0.4158
62,1,62,pagerank_w_mean_0.00,1,1,0.2091,0.4543,0.3366
63,1,63,pagerank_w_mean_0.00,1,1,0.2031,0.4675,0.3294
64,0,64,pagerank_w_mean_0.00,1,0,0.2413,0.4227,0.336
65,0,65,pagerank_w_mean_0.00,1,0,0.2277,0.4316,0.3407
66,2,66,pagerank_w_mean_0.00,1,1,0.198,0.431,0.371
67,0,67,pagerank_w_mean_0.00,1,0,0.2411,0.4233,0.3357
68,1,68,pagerank_w_mean_0.00,1,1,0.199,0.4575,0.3435
69,1,69,pagerank_w_mean_0.00,1,1,0.2019,0.4565,0.3416
70,1,70,pagerank_w_mean_0.00,1,1,0.2035,0.4635,0.333
71,2,71,pagerank_w_mean_0.00,1,1,0.1982,0.43,0.3718
72,1,72,pagerank_w_mean_0.00,1,1,0.2108,0.4584,0.3308
73,0,73,pagerank_w_mean_0.00,1,1,0.1804,0.4362,0.3834
74,1,74,pagerank_w_mean_0.00,1,1,0.2059,0.4556,0.3385
75,1,75,pagerank_w_mean_0.00,1,1,0.2038,0.4577,0.3386
76,2,76,pagerank_w_mean_0.00,1,1,0.1957,0.4228,0.3815
77,2,77,pagerank_w_mean_0.00,2,1,0.1853,0.3863,0.4284
78,0,78,pagerank_w_mean_0.00,1,1,0.2219,0.3964,0.3816
79,1,79,pagerank_w_mean_0.00,1,1,0.2032,0.47,0.3268
80,2,80,pagerank_w_mean_0.00,2,1,0.1875,0.3937,0.4188
81,0,81,pagerank_w_mean_0.00,1,1,0.2038,0.4111,0.3851
82,1,82,pagerank_w_mean_0.00,1,1,0.2106,0.4501,0.3393
83,1,83,pagerank_w_mean_0.00,1,1,0.2028,0.4583,0.339
84,0,84,pagerank_w_mean_0.00,1,1,0.2464,0.381,0.3726
85,2,85,pagerank_w_mean_0.00,1,1,0.1951,0.4207,0.3842
86,1,86,pagerank_w_mean_0.00,1,1,0.2087,0.4613,0.33
87,2,87,pagerank_w_mean_0.00,1,1,0.1929,0.4137,0.3934
88,2,88,pagerank_w_mean_0.00,1,1,0.1991,0.4358,0.3651
89,1,89,pagerank_w_mean_0.00,1,2,0.2461,0.4174,0.3365
90,2,90,pagerank_w_mean_0.00,1,2,0.2263,0.4024,0.3713
91,2,91,pagerank_w_mean_0.00,1,2,0.2352,0.4009,0.3639
92,1,92,pagerank_w_mean_0.00,1,2,0.2344,0.4301,0.3355
93,2,93,pagerank_w_mean_0.00,1,2,0.2189,0.4017,0.3794
94,1,94,pagerank_w_mean_0.00,1,2,0.2264,0.4369,0.3367
95,1,95,pagerank_w_mean_0.00,1,2,0.2308,0.4328,0.3364
96,1,96,pagerank_w_mean_0.00,1,2,0.2448,0.4185,0.3367
97,1,97,pagerank_w_mean_0.00,1,2,0.1916,0.4773,0.3311
98,0,98,pagerank_w_mean_0.00,1,1,0.2127,0.4055,0.3818
99,0,99,pagerank_w_mean_0.00,1,1,0.205,0.4104,0.3846
100,2,100,pagerank_w_mean_0.00,1,2,0.2384,0.3982,0.3634
101,1,101,pagerank_w_mean_0.00,1,2,0.2651,0.4135,0.3214
102,2,102,pagerank_w_mean_0.00,1,2,0.2338,0.3839,0.3823
103,2,103,pagerank_w_mean_0.00,1,2,0.2198,0.4003,0.3799
104,0,104,pagerank_w_mean_0.00,1,1,0.2219,0.3989,0.3792
105,2,105,pagerank_w_mean_0.00,1,2,0.222,0.4011,0.377
106,1,106,pagerank_w_mean_0.00,1,2,0.2659,0.3965,0.3376
107,2,107,pagerank_w_mean_0.00,1,2,0.2439,0.3963,0.3597
108,1,108,pagerank_w_mean_0.00,1,2,0.2461,0.4145,0.3394
109,0,109,pagerank_w_mean_0.00,1,1,0.2112,0.4082,0.3806
110,2,110,pagerank_w_mean_0.00,1,2,0.2241,0.4026,0.3732
111,1,111,pagerank_w_mean_0.00,1,2,0.2395,0.4227,0.3377
112,2,112,pagerank_w_mean_0.00,1,2,0.242,0.396,0.3619
113,2,113,pagerank_w_mean_0.00,1,2,0.2374,0.4007,0.362
114,1,114,pagerank_w_mean_0.00,1,2,0.2492,0.4135,0.3372
115,1,115,pagerank_w_mean_0.00,1,2,0.2269,0.4388,0.3344
116,1,116,pagerank_w_mean_0.00,1,2,0.239,0.4259,0.3351
117,2,117,pagerank_w_mean_0.00,1,2,0.2149,0.4015,0.3836
118,2,118,pagerank_w_mean_0.00,1,2,0.2344,0.4002,0.3655
119,2,119,pagerank_w_mean_0.00,1,2,0.2135,0.4029,0.3836
120,1,120,pagerank_w_mean_0.00,1,2,0.2067,0.4589,0.3344
121,2,121,pagerank_w_mean_0.00,1,2,0.2283,0.4011,0.3705
122,1,122,pagerank_w_mean_0.00,1,2,0.2303,0.4336,0.3361
123,2,123,pagerank_w_mean_0.00,1,2,0.2292,0.4007,0.3701
124,1,124,pagerank_w_mean_0.00,1,2,0.2389,0.4248,0.3363
125,0,125,pagerank_w_mean_0.00,1,1,0.2016,0.416,0.3825
126,0,126,pagerank_w_mean_0.00,1,1,0.189,0.4251,0.3858
127,1,127,pagerank_w_mean_0.00,1,2,0.2142,0.4509,0.3349
128,1,128,pagerank_w_mean_0.00,1,2,0.212,0.4582,0.3298
129,1,129,pagerank_w_mean_0.00,1,2,0.2781,0.3819,0.3399
130,0,130,pagerank_w_mean_0.00,1,1,0.2197,0.3961,0.3842
131,2,131,pagerank_w_mean_0.00,1,2,0.2145,0.4042,0.3812
132,0,132,pagerank_w_mean_0.00,2,2,0.2711,0.3615,0.3673
133,1,133,pagerank_w_mean_0.00,1,2,0.2043,0.4641,0.3317
134,1,134,pagerank_w_mean_0.00,1,3,0.2326,0.4458,0.3216
135,2,135,pagerank_w_mean_0.00,1,3,0.2281,0.4225,0.3494
136,1,136,pagerank_w_mean_0.00,1,3,0.2251,0.4496,0.3252
137,2,137,pagerank_w_mean_0.00,1,3,0.2547,0.4196,0.3257
138,1,138,pagerank_w_mean_0.00,1,3,0.2331,0.4439,0.323
139,1,139,pagerank_w_mean_0.00,1,3,0.1953,0.4691,0.3356
140,0,140,pagerank_w_mean_0.00,2,2,0.2685,0.3649,0.3666
141,1,141,pagerank_w_mean_0.00,1,3,0.2542,0.4312,0.3146
142,0,142,pagerank_w_mean_0.00,1,2,0.2699,0.3714,0.3587
143,2,143,pagerank_w_mean_0.00,1,3,0.2532,0.4214,0.3254
144,0,144,pagerank_w_mean_0.00,2,2,0.276,0.3551,0.3689
145,2,145,pagerank_w_mean_0.00,1,3,0.1893,0.4199,0.3909
146,1,146,pagerank_w_mean_0.00,1,3,0.233,0.4437,0.3234
147,1,147,pagerank_w_mean_0.00,1,3,0.2551,0.4372,0.3077
148,1,148,pagerank_w_mean_0.00,1,3,0.2524,0.4318,0.3158
149,1,149,pagerank_w_mean_0.00,1,3,0.2227,0.4505,0.3268
150,1,150,pagerank_w_mean_0.00,1,3,0.2275,0.4473,0.3252
151,0,151,pagerank_w_mean_0.00,1,2,0.2551,0.3774,0.3675
152,0,152,pagerank_w_mean_0.00,2,2,0.2945,0.3458,0.3597
153,2,153,pagerank_w_mean_0.00,1,3,0.2299,0.422,0.3482
154,1,154,pagerank_w_mean_0.00,1,3,0.2154,0.4548,0.3298
155,2,155,pagerank_w_mean_0.00,1,3,0.2517,0.4203,0.3281
156,2,156,pagerank_w_mean_0.00,1,3,0.2392,0.4227,0.3381
157,1,157,pagerank_w_mean_0.00,1,3,0.2478,0.4354,0.3169
158,0,158,pagerank_w_mean_0.00,2,2,0.2894,0.3497,0.3608
159,1,159,pagerank_w_mean_0.00,1,3,0.1984,0.4677,0.334
160,1,160,pagerank_w_mean_0.00,1,3,0.2166,0.4567,0.3267
161,2,161,pagerank_w_mean_0.00,1,3,0.2349,0.42,0.3451
162,1,162,pagerank_w_mean_0.00,1,3,0.2785,0.415,0.3065
163,0,163,pagerank_w_mean_0.00,1,2,0.2672,0.3686,0.3642
164,2,164,pagerank_w_mean_0.00,1,3,0.2551,0.4204,0.3245
165,1,165,pagerank_w_mean_0.00,1,3,0.2259,0.4474,0.3267
166,2,166,pagerank_w_mean_0.00,1,3,0.2128,0.4208,0.3664
167,2,167,pagerank_w_mean_0.00,1,3,0.2436,0.4199,0.3366
168,2,168,pagerank_w_mean_0.00,1,3,0.2228,0.4206,0.3566
169,1,169,pagerank_w_mean_0.00,1,3,0.195,0.468,0.337
170,2,170,pagerank_w_mean_0.00,1,3,0.2567,0.4188,0.3244
171,1,171,pagerank_w_mean_0.00,1,3,0.221,0.4605,0.3185
172,1,172,pagerank_w_mean_0.00,1,3,0.2249,0.4494,0.3257
173,1,173,pagerank_w_mean_0.00,1,3,0.245,0.437,0.318
174,2,174,pagerank_w_mean_0.00,1,3,0.2362,0.4209,0.3429
175,1,175,pagerank_w_mean_0.00,1,4,0.2188,0.441,0.3402
176,0,176,pagerank_w_mean_0.00,1,2,0.28,0.3604,0.3596
177,1,177,pagerank_w_mean_0.00,1,4,0.2214,0.4371,0.3415
178,1,178,pagerank_w_mean_0.00,1,4,0.2204,0.4436,0.336
179,1,179,pagerank_w_mean_0.00,1,4,0.2181,0.4461,0.3358
180,1,180,pagerank_w_mean_0.00,1,4,0.2218,0.4461,0.3321
181,2,181,pagerank_w_mean_0.00,1,3,0.2741,0.4169,0.309
182,2,182,pagerank_w_mean_0.00,1,3,0.2502,0.4198,0.3299
183,0,183,pagerank_w_mean_0.00,2,2,0.2687,0.3602,0.3711
184,0,184,pagerank_w_mean_0.00,1,2,0.2758,0.3681,0.356
185,0,185,pagerank_w_mean_0.00,1,3,0.2862,0.3906,0.3232
186,0,186,pagerank_w_mean_0.00,1,3,0.2821,0.3905,0.3274
187,1,187,pagerank_w_mean_0.00,1,4,0.2232,0.4412,0.3356
188,1,188,pagerank_w_mean_0.00,1,4,0.225,0.4428,0.3322
189,1,189,pagerank_w_mean_0.00,1,4,0.2207,0.4392,0.3401
190,1,190,pagerank_w_mean_0.00,1,4,0.2201,0.4385,0.3414
191,1,191,pagerank_w_mean_0.00,1,4,0.224,0.4345,0.3415
192,1,192,pagerank_w_mean_0.00,1,4,0.2194,0.4403,0.3403
193,1,193,pagerank_w_mean_0.00,1,4,0.2227,0.439,0.3383
194,2,194,pagerank_w_mean_0.00,1,3,0.2241,0.4226,0.3534
195,0,195,pagerank_w_mean_0.00,1,3,0.2803,0.3919,0.3279
196,2,196,pagerank_w_mean_0.00,1,4,0.2173,0.4356,0.347
197,2,197,pagerank_w_mean_0.00,1,4,0.2138,0.4312,0.355
198,2,198,pagerank_w_mean_0.00,1,4,0.1968,0.4129,0.3904
199,2,199,pagerank_w_mean_0.00,1,4,0.2097,0.4281,0.3621
200,0,200,pagerank_w_mean_0.00,1,3,0.2958,0.3823,0.322
201,2,201,pagerank_w_mean_0.00,1,4,0.207,0.4236,0.3694
202,2,202,pagerank_w_mean_0.00,1,4,0.2115,0.4298,0.3587
203,2,203,pagerank_w_mean_0.00,1,4,0.2167,0.4362,0.3471
204,0,204,pagerank_w_mean_0.00,1,3,0.3021,0.3847,0.3132
205,2,205,pagerank_w_mean_0.00,1,4,0.208,0.4255,0.3665
206,1,206,pagerank_w_mean_0.00,1,4,0.2243,0.4401,0.3356
207,1,207,pagerank_w_mean_0.00,1,4,0.2217,0.4386,0.3398
208,1,208,pagerank_w_mean_0.00,1,4,0.22,0.4398,0.3402
209,0,209,pagerank_w_mean_0.00,1,3,0.2773,0.3997,0.323
210,1,210,pagerank_w_mean_0.00,1,4,0.2218,0.4407,0.3375
211,1,211,pagerank_w_mean_0.00,1,4,0.2185,0.4368,0.3448
212,1,212,pagerank_w_mean_0.00,1,4,0.2215,0.4388,0.3397
213,2,213,pagerank_w_mean_0.00,1,4,0.2221,0.4403,0.3376
214,0,214,pagerank_w_mean_0.00,1,3,0.2893,0.3921,0.3186
215,1,215,pagerank_w_mean_0.00,1,4,0.2187,0.4415,0.3398
216,2,216,pagerank_w_mean_0.00,1,4,0.207,0.4245,0.3685
217,1,217,pagerank_w_mean_0.00,1,4,0.2197,0.4403,0.34
218,1,218,pagerank_w_mean_0.00,1,5,0.261,0.3842,0.3548
219,0,219,pagerank_w_mean_0.00,1,3,0.2832,0.3833,0.3335
220,0,220,pagerank_w_mean_0.00,1,3,0.2937,0.3896,0.3167
221,1,221,pagerank_w_mean_0.00,1,5,0.2315,0.4224,0.3461
222,2,222,pagerank_w_mean_0.00,1,4,0.2136,0.4315,0.3549
223,1,223,pagerank_w_mean_0.00,1,5,0.2033,0.4612,0.3356
224,1,224,pagerank_w_mean_0.00,1,5,0.2627,0.382,0.3553
225,1,225,pagerank_w_mean_0.00,1,5,0.2512,0.397,0.3518
226,1,226,pagerank_w_mean_0.00,1,5,0.2657,0.3782,0.3561
227,2,227,pagerank_w_mean_0.00,1,4,0.2156,0.434,0.3504
228,2,228,pagerank_w_mean_0.00,1,4,0.2186,0.4366,0.3448
229,0,229,pagerank_w_mean_0.00,1,3,0.2798,0.3931,0.3271
230,2,230,pagerank_w_mean_0.00,1,4,0.2124,0.4307,0.3569
231,2,231,pagerank_w_mean_0.00,1,4,0.2209,0.4406,0.3385
232,0,232,pagerank_w_mean_0.00,1,3,0.2751,0.3898,0.3351
233,2,233,pagerank_w_mean_0.00,1,4,0.2073,0.4266,0.3661
234,2,234,pagerank_w_mean_0.00,1,4,0.2214,0.4404,0.3382
235,2,235,pagerank_w_mean_0.00,1,5,0.2452,0.3903,0.3645
236,2,236,pagerank_w_mean_0.00,1,5,0.2199,0.4017,0.3784
237,2,237,pagerank_w_mean_0.00,1,5,0.2351,0.395,0.3699
238,1,238,pagerank_w_mean_0.00,1,5,0.2282,0.4264,0.3453
239,1,239,pagerank_w_mean_0.00,1,5,0.246,0.4032,0.3508
240,1,240,pagerank_w_mean_0.00,1,5,0.256,0.3906,0.3534
241,0,241,pagerank_w_mean_0.00,1,4,0.2153,0.4226,0.3621
242,2,242,pagerank_w_mean_0.00,1,5,0.2246,0.4002,0.3752
243,0,243,pagerank_w_mean_0.00,1,4,0.2115,0.4286,0.36
244,0,244,pagerank_w_mean_0.00,1,4,0.2185,0.4158,0.3657
245,0,245,pagerank_w_mean_0.00,1,4,0.2142,0.4246,0.3612
246,0,246,pagerank_w_mean_0.00,1,4,0.2105,0.4308,0.3587
247,1,247,pagerank_w_mean_0.00,1,5,0.2302,0.4232,0.3466
248,0,248,pagerank_w_mean_0.00,1,4,0.2047,0.4397,0.3556
249,1,249,pagerank_w_mean_0.00,1,5,0.2212,0.4363,0.3425
250,1,250,pagerank_w_mean_0.00,1,5,0.2607,0.3838,0.3556
251,2,251,pagerank_w_mean_0.00,1,5,0.2292,0.3985,0.3723
252,0,252,pagerank_w_mean_0.00,1,4,0.218,0.4163,0.3657
253,2,253,pagerank_w_mean_0.00,1,5,0.2337,0.3955,0.3708
254,2,254,pagerank_w_mean_0.00,1,5,0.2207,0.4021,0.3772
255,0,255,pagerank_w_mean_0.00,1,4,0.2177,0.419,0.3633
256,1,256,pagerank_w_mean_0.00,1,5,0.2645,0.3791,0.3564
257,1,257,pagerank_w_mean_0.00,1,5,0.2616,0.3838,0.3546
258,1,258,pagerank_w_mean_0.00,1,5,0.2152,0.4439,0.3409
259,1,259,pagerank_w_mean_0.00,1,5,0.2269,0.4278,0.3453
260,0,260,pagerank_w_mean_0.00,1,4,0.2141,0.4245,0.3614
261,2,261,pagerank_w_mean_0.00,1,5,0.2157,0.4034,0.3809
262,1,262,pagerank_w_mean_0.00,1,5,0.2455,0.4033,0.3513
263,1,263,pagerank_w_mean_0.00,1,5,0.2128,0.4475,0.3398
264,2,264,pagerank_w_mean_0.00,1,5,0.2449,0.3902,0.365
265,2,265,pagerank_w_mean_0.00,1,5,0.243,0.3917,0.3653
266,1,266,pagerank_w_mean_0.00,1,5,0.2447,0.4128,0.3425
267,0,267,pagerank_w_mean_0.00,1,4,0.2129,0.4257,0.3614
268,1,268,pagerank_w_mean_0.00,1,5,0.2253,0.4304,0.3443
269,0,269,pagerank_w_mean_0.00,1,4,0.2174,0.4179,0.3647
270,2,270,pagerank_w_mean_0.00,1,5,0.2265,0.3958,0.3778
271,2,271,pagerank_w_mean_0.00,1,5,0.2333,0.3953,0.3713
272,1,272,pagerank_w_mean_0.00,1,6,0.2006,0.4382,0.3612
273,1,273,pagerank_w_mean_0.00,1,6,0.2432,0.3959,0.361
274,1,274,pagerank_w_mean_0.00,1,6,0.2452,0.3942,0.3607
275,2,275,pagerank_w_mean_0.00,1,5,0.2624,0.3815,0.3561
276,1,276,pagerank_w_mean_0.00,1,6,0.2409,0.3981,0.361
277,1,277,pagerank_w_mean_0.00,1,6,0.24,0.3988,0.3612
278,2,278,pagerank_w_mean_0.00,1,5,0.254,0.3871,0.3589
279,0,279,pagerank_w_mean_0.00,2,5,0.2621,0.3673,0.3706
280,1,280,pagerank_w_mean_0.00,1,6,0.2163,0.4219,0.3618
281,2,281,pagerank_w_mean_0.00,1,5,0.2479,0.388,0.364
282,2,282,pagerank_w_mean_0.00,1,5,0.219,0.4028,0.3782
283,1,283,pagerank_w_mean_0.00,1,6,0.2227,0.4156,0.3617
284,2,284,pagerank_w_mean_0.00,1,5,0.2495,0.3885,0.362
285,0,285,pagerank_w_mean_0.00,2,5,0.2629,0.3683,0.3688
286,1,286,pagerank_w_mean_0.00,1,6,0.2447,0.3939,0.3614
287,2,287,pagerank_w_mean_0.00,1,6,0.2365,0.4046,0.3589
288,2,288,pagerank_w_mean_0.00,1,6,0.2512,0.3893,0.3595
289,1,289,pagerank_w_mean_0.00,1,6,0.2233,0.4147,0.362
290,2,290,pagerank_w_mean_0.00,1,6,0.257,0.3833,0.3597
291,1,291,pagerank_w_mean_0.00,1,6,0.2324,0.4062,0.3614
292,1,292,pagerank_w_mean_0.00,1,6,0.2337,0.4049,0.3614
293,0,293,pagerank_w_mean_0.00,1,5,0.2673,0.3667,0.3659
294,0,294,pagerank_w_mean_0.00,1,5,0.2489,0.3797,0.3714
295,2,295,pagerank_w_mean_0.00,1,6,0.25,0.3903,0.3597
296,2,296,pagerank_w_mean_0.00,1,6,0.26,0.3803,0.3597
297,1,297,pagerank_w_mean_0.00,1,6,0.2179,0.4204,0.3617
298,1,298,pagerank_w_mean_0.00,1,6,0.2507,0.389,0.3603
299,0,299,pagerank_w_mean_0.00,2,5,0.2574,0.3693,0.3732
300,1,300,pagerank_w_mean_0.00,1,6,0.2372,0.4016,0.3612
301,0,301,pagerank_w_mean_0.00,2,5,0.2574,0.3701,0.3726
302,1,302,pagerank_w_mean_0.00,1,6,0.2218,0.4165,0.3618
303,2,303,pagerank_w_mean_0.00,1,6,0.2446,0.396,0.3594
304,1,304,pagerank_w_mean_0.00,1,6,0.2163,0.422,0.3617
305,1,305,pagerank_w_mean_0.00,1,6,0.2529,0.3871,0.3601
306,1,306,pagerank_w_mean_0.00,1,6,0.2499,0.3896,0.3605
307,2,307,pagerank_w_mean_0.00,1,6,0.2594,0.3808,0.3598
308,0,308,pagerank_w_mean_0.00,1,5,0.2553,0.3725,0.3721
309,2,309,pagerank_w_mean_0.00,1,6,0.2388,0.4023,0.359
310,2,310,pagerank_w_mean_0.00,1,6,0.2504,0.3902,0.3594
311,1,311,pagerank_w_mean_0.00,1,6,0.2226,0.4158,0.3617
312,1,312,pagerank_w_mean_0.00,1,6,0.2216,0.4168,0.3617
313,0,313,pagerank_w_mean_0.00,1,5,0.2539,0.3771,0.369
314,0,314,pagerank_w_mean_0.00,2,5,0.2566,0.3663,0.3772
315,1,315,pagerank_w_mean_0.00,1,7,0.2836,0.3863,0.3301
316,2,316,pagerank_w_mean_0.00,1,6,0.2557,0.3848,0.3595
317,0,317,pagerank_w_mean_0.00,2,5,0.2551,0.3683,0.3767
318,2,318,pagerank_w_mean_0.00,1,6,0.2724,0.368,0.3596
319,1,319,pagerank_w_mean_0.00,1,7,0.2264,0.4241,0.3496
320,2,320,pagerank_w_mean_0.00,1,6,0.2432,0.3976,0.3592
321,2,321,pagerank_w_mean_0.00,1,6,0.2369,0.4039,0.3591
322,1,322,pagerank_w_mean_0.00,1,7,0.2416,0.4136,0.3448
323,0,323,pagerank_w_mean_0.00,1,6,0.2667,0.376,0.3573
324,1,324,pagerank_w_mean_0.00,1,7,0.2102,0.4346,0.3552
325,0,325,pagerank_w_mean_0.00,1,6,0.2663,0.3759,0.3578
326,1,326,pagerank_w_mean_0.00,1,7,0.2792,0.3898,0.331
327,1,327,pagerank_w_mean_0.00,1,7,0.2744,0.393,0.3326
328,1,328,pagerank_w_mean_0.00,1,7,0.2959,0.3786,0.3255
329,1,329,pagerank_w_mean_0.00,1,7,0.2566,0.4034,0.3399
330,0,330,pagerank_w_mean_0.00,1,6,0.2572,0.3851,0.3577
331,0,331,pagerank_w_mean_0.00,1,6,0.2646,0.3785,0.3569
332,1,332,pagerank_w_mean_0.00,1,7,0.2772,0.393,0.3298
333,0,333,pagerank_w_mean_0.00,1,6,0.2601,0.3825,0.3574
334,0,334,pagerank_w_mean_0.00,1,6,0.2562,0.3856,0.3582
335,0,335,pagerank_w_mean_0.00,1,6,0.2671,0.3759,0.357
336,2,336,pagerank_w_mean_0.00,1,6,0.2522,0.3882,0.3596
337,2,337,pagerank_w_mean_0.00,1,6,0.2321,0.409,0.3589
338,0,338,pagerank_w_mean_0.00,1,6,0.2536,0.3886,0.3578
339,0,339,pagerank_w_mean_0.00,1,6,0.2568,0.3856,0.3576
340,1,340,pagerank_w_mean_0.00,1,7,0.2828,0.3869,0.3304
341,0,341,pagerank_w_mean_0.00,1,6,0.2643,0.3779,0.3578
342,1,342,pagerank_w_mean_0.00,1,7,0.258,0.4027,0.3393
343,1,343,pagerank_w_mean_0.00,1,7,0.2618,0.4003,0.3379
344,2,344,pagerank_w_mean_0.00,1,6,0.2608,0.3794,0.3598
345,1,345,pagerank_w_mean_0.00,1,7,0.2774,0.3905,0.3322
346,2,346,pagerank_w_mean_0.00,1,6,0.259,0.3812,0.3598
347,0,347,pagerank_w_mean_0.00,1,7,0.2902,0.3761,0.3337
348,0,348,pagerank_w_mean_0.00,1,7,0.2826,0.3824,0.335
349,1,349,pagerank_w_mean_0.00,1,7,0.2622,0.4003,0.3375
350,0,350,pagerank_w_mean_0.00,1,7,0.2755,0.3853,0.3393
351,1,351,pagerank_w_mean_0.00,1,7,0.2643,0.3988,0.3369
352,1,352,pagerank_w_mean_0.00,1,7,0.247,0.4101,0.3429
353,1,353,pagerank_w_mean_0.00,1,7,0.2964,0.378,0.3255
354,1,354,pagerank_w_mean_0.00,1,7,0.2905,0.3823,0.3272
355,2,355,pagerank_w_mean_0.00,1,7,0.2581,0.3989,0.343
356,1,356,pagerank_w_mean_0.00,1,7,0.2505,0.4079,0.3416
357,2,357,pagerank_w_mean_0.00,1,7,0.2057,0.4213,0.373
358,2,358,pagerank_w_mean_0.00,1,7,0.2378,0.4074,0.3548
